Start SimCLR training for 100 epochs.
Training with gpu: True.
Epoch [1/100], Loss: 5.758107
Epoch [2/100], Loss: 5.331976
Epoch [3/100], Loss: 5.038547
Epoch [4/100], Loss: 4.800058
Epoch [5/100], Loss: 4.604315
Epoch [6/100], Loss: 4.469500
Epoch [7/100], Loss: 4.345499
Epoch [8/100], Loss: 4.233448
Epoch [9/100], Loss: 4.134542
Epoch [10/100], Loss: 4.042534
Epoch [11/100], Loss: 3.948504
Epoch [12/100], Loss: 3.847518
Epoch [13/100], Loss: 3.777818
Epoch [14/100], Loss: 3.722113
Epoch [15/100], Loss: 3.628100
Epoch [16/100], Loss: 3.569770
Epoch [17/100], Loss: 3.514354
Epoch [18/100], Loss: 3.458118
Epoch [19/100], Loss: 3.384082
Epoch [20/100], Loss: 3.337300
Epoch [21/100], Loss: 3.303145
Epoch [22/100], Loss: 3.254842
Epoch [23/100], Loss: 3.218766
Epoch [24/100], Loss: 3.163908
Epoch [25/100], Loss: 3.126781
Epoch [26/100], Loss: 3.052373
Epoch [27/100], Loss: 3.043942
Epoch [28/100], Loss: 2.991594
Epoch [29/100], Loss: 2.979572
Epoch [30/100], Loss: 2.923012
Epoch [31/100], Loss: 2.909239
Epoch [32/100], Loss: 2.880969
Epoch [33/100], Loss: 2.840037
Epoch [34/100], Loss: 2.847863
Epoch [35/100], Loss: 2.795857
Epoch [36/100], Loss: 2.777778
Epoch [37/100], Loss: 2.743354
Epoch [38/100], Loss: 2.716892
Epoch [39/100], Loss: 2.681346
Epoch [40/100], Loss: 2.690794
Epoch [41/100], Loss: 2.645100
Epoch [42/100], Loss: 2.646725
Epoch [43/100], Loss: 2.638735
Epoch [44/100], Loss: 2.607311
Epoch [45/100], Loss: 2.591773
Epoch [46/100], Loss: 2.569979
Epoch [47/100], Loss: 2.581876
Epoch [48/100], Loss: 2.527618
Epoch [49/100], Loss: 2.539612
Epoch [50/100], Loss: 2.496498
Epoch [51/100], Loss: 2.496701
Epoch [52/100], Loss: 2.501911
Epoch [53/100], Loss: 2.471096
Epoch [54/100], Loss: 2.440432
Epoch [55/100], Loss: 2.436395
Epoch [56/100], Loss: 2.425003
Epoch [57/100], Loss: 2.412492
Epoch [58/100], Loss: 2.385969
Epoch [59/100], Loss: 2.400682
Epoch [60/100], Loss: 2.379855
Epoch [61/100], Loss: 2.372265
Epoch [62/100], Loss: 2.365658
Epoch [63/100], Loss: 2.360054
Epoch [64/100], Loss: 2.337608
Epoch [65/100], Loss: 2.323122
Epoch [66/100], Loss: 2.309026
Epoch [67/100], Loss: 2.299672
Epoch [68/100], Loss: 2.297597
Epoch [69/100], Loss: 2.285648
Epoch [70/100], Loss: 2.293091
Epoch [71/100], Loss: 2.269365
Epoch [72/100], Loss: 2.261709
Epoch [73/100], Loss: 2.253016
Epoch [74/100], Loss: 2.246005
Epoch [75/100], Loss: 2.232949
Epoch [76/100], Loss: 2.233313
Epoch [77/100], Loss: 2.238544
Epoch [78/100], Loss: 2.220545
Epoch [79/100], Loss: 2.207010
Epoch [80/100], Loss: 2.208613
Epoch [81/100], Loss: 2.195764
Epoch [82/100], Loss: 2.212167
Epoch [83/100], Loss: 2.171093
Epoch [84/100], Loss: 2.162691
Epoch [85/100], Loss: 2.150218
Epoch [86/100], Loss: 2.138266
Epoch [87/100], Loss: 2.166771
Epoch [88/100], Loss: 2.130649
Epoch [89/100], Loss: 2.138383
Epoch [90/100], Loss: 2.144887
Epoch [91/100], Loss: 2.129517
Epoch [92/100], Loss: 2.121502
Epoch [93/100], Loss: 2.107191
Epoch [94/100], Loss: 2.096340
Epoch [95/100], Loss: 2.082334
Epoch [96/100], Loss: 2.095340
Epoch [97/100], Loss: 2.092914
Epoch [98/100], Loss: 2.095571
Epoch [99/100], Loss: 2.080711
Epoch [100/100], Loss: 2.078504
Training has finished.
